Word1,Word2,Average_Score
Kalkulation,Berechnung,9.54
Ankündigung,Produktion,1.65
Gewinn,Warnung,2.85
Gewinn,Verlust,7.85
Dollar,Yen,7.31
Dollar,Kohle,5.58
Telefon,Zubehör,4.42
Fünf,Monat,1.33
Bericht,Zuwachs,2.02
Flüssigkeit,Wasser,8.62
Marathon,Sprint,7.67
Sieben,Reihe,2.41
Meeresfrüchte,Essen,7.23
Meeresfrüchte,Hummer,6.81
Hummer,Essen,6.78
Hummer,Wein,4.15
Beginn,Jahr,4.7
Beginn,Partie,4.22
Meisterschaft,Turnier,8.05
Grundsatz,Versicherung,2.51
Mann,Frau,8.69
Mann,Präsident,5.46
Mord,Totschlag,8.62
Oper,Aufführung,6.38
Fokus,Leben,2.62
Zuschauer,Serie,5.38
Möglichkeit,Mädchen,1.65
Bevölkerung,Entwicklung,4.27
Moral,Wichtigkeit,4.65
Moral,Heirat,2.81
Mexiko,Brasil,5.23
Oper,Industrie,0.85
Zucker,Annäherung,1.46
Praxis,Institution,4.27
Ministerium,Kultur,4.38
Entwicklung,Ausgabe,3.15
Erfahrung,Musik,1.08
Musik,Projekt,4.04
Glas,Metal,3.92
Aluminium,Metal,7.81
Möglichkeit,Glaubwürdigkeit,2.69
Rock,Jazz,6.19
Museum,Theater,5.42
Betrachtung,Architektur,4.38
Regen,Gewitter,7.85
Architektur,Jahrhundert,3.08
