Word1,Word2,Average_Score
Kredit,Karte,6.31
Vertrauen,Information,4.77
Hotel,Reservierung,6.81
Lebensmittel,Geld,4.88
Registrierung,Abmachung,2.69
Vereinbarung,Unterkunft,2
Monat,Hotel,0.69
Ankunft,Hotel,4.54
Bett,Schrank,6.15
Schrank,Kleider,7.5
Lage,Schlussfolgerung,3.69
Situation,Isolation,2.15
Unparteilichkeit,Interesse,2.5
Richtung,Verbindung,3.65
Straße,Kinder,3.73
Aufzählung,Nähe,0.92
Liste,Kategorie,5.85
Herstellung,Wanderung,0.69
Richtwert,Kennziffer,4.92
Medien,Handel,2.87
Medien,Vorteil,1.81
Gewinnanteil,Kalkulation,6.15
Währung,Markt,6.03
OPEC,Öl,7.65
Öl,Aktie,5.14
Ankündigung,Produktion,1.65
Ankündigung,Warnung,6.06
Gewinn,Warnung,2.85
Dollar,Gewinn,5.25
Dollar,Verlust,5.27
Computer,Software,8.35
Netzwerk,Hardware,6.88
Zubehör,Hersteller,4.43
Luxus,Auto,5.14
Fünf,Monat,1.33
Bericht,Zuwachs,2.02
Investor,Einkommen,4.05
Baseball,Saison,4.98
Spiel,Sieg,7.08
Spiel,Mannschaft,6.88
Spiel,Serie,4.85
Spiel,Niederlage,6.77
Sieben,Reihe,2.41
Meeresfrüchte,Meer,7.32
Essen,Vorbereitung,5.58
Video,Archiv,5.06
Beginn,Jahr,4.7
Beginn,Partie,4.22
Spiel,Runde,6.33
Boxen,Runde,7.35
Kämpfen,Besiegen,7.41
Grundsatz,Versicherung,2.51
Tag,Sommer,3.33
Sommer,Dürre,6.04
Sommer,Natur,5.37
Tag,Dämmerung,5.97
Natur,Umwelt,8
Umwelt,Nachhaltigkeit,6.54
Natur,Mensch,6.31
Seife,Oper,2.85
Leben,Lektion,4.54
Fokus,Leben,2.62
Herstellung,Belegschaft,3.23
Fernsehen,Film,7.31
Liebhaber,Streit,4.08
Zuschauer,Serie,5.38
Möglichkeit,Mädchen,1.65
Bevölkerung,Entwicklung,4.27
Moral,Wichtigkeit,4.65
Moral,Heirat,2.81
Geschlecht,Gleichheit,3.81
Änderung,Einstellung,4.15
Familie,Planung,5.62
Oper,Industrie,0.85
Zucker,Annäherung,1.46
Praxis,Institution,4.27
Ministerium,Kultur,4.38
Problem,Herausforderung,6.08
Größe,Prominenz,5.46
Staat,Bürger,6.77
Planet,Menschen,5.62
Entwicklung,Ausgabe,3.15
Erfahrung,Musik,1.08
Musik,Projekt,4.04
Möglichkeit,Glaubwürdigkeit,2.69
Ausstellungsstück,Erinnerungsstück,4.38
Konzert,virtuos,4.46
Betrachtung,Architektur,4.38
Weltraum,Erde,6.46
Erhaltung,Welt,4.31
Einlass,Eintritt,8.08
Regen,Flut,7.27
Wetter,Vorhersage,6.46
Katastrophe,Gebiet,4.27
Präsident,Büro,3.42
Architektur,Jahrhundert,3.08
