Word1,Word2,Average_Score
развитие,население,3.46
важность,мораль,4.08
брак,мораль,4.92
равенство,пол,5.77
отношение,изменение,4.38
планирование,семья,6.38
промышленность,опера,0.69
подход,сахар,0.62
учреждение,практика,2.38
культура,министерство,5.08
вызов,проблема,4.77
выступ,размер,2.69
гражданин,страна,7.15
люди,планета,7.46
выпуск,развитие,3.15
музыка,опыт,2.46
проект,музыка,3.62
достоверность,шанс,4
памятные,экспонат,5.54
виртуоз,концерт,7.62
архитектура,наблюдение,3.69
мир,пространство,6.62
мир,предохранение,3
билет,вход,6.92
наводнение,ливень,7.85
прогноз,погода,9.08
область,катастрофа,3.92
офис,губернатор,5.08
век,архитектура,4.92
