Word1,Word2,Average_Score
combattimento,sconfitta,6.92
linea,assicurazione,2
giorno,estate,4.77
estate,siccità,6.81
estate,natura,5.54
giorno,alba,8.04
natura,ambiente,8.69
ambiente,ecologia,8.42
natura,uomo,7
sapone,opera,4.58
vita,lezione,6.96
fulcro,vita,5.23
produzione,troupe,6.69
televisione,film,7.42
amante,lite,6.23
telespettatore,serie,7.05
possibilità,ragazza,4.35
popolazione,sviluppo,6.19
moralità,importanza,5.88
moralità,matrimonio,5.58
genere,uguaglianza,7.23
cambiamento,atteggiamento,5.9
famiglia,pianificazione,6.04
opera,industria,5.23
zucchero,approccio,1.46
pratica,istituzione,3.81
ministero,cultura,6.88
problema,sfida,6.92
dimensione,prominenza,5.15
Paese,cittadino,7.54
pianeta,popolo,5.29
sviluppo,questione,4.62
esperienza,musica,4.85
musica,progetto,5
possibilità,credibilità,4.35
esposizione,cimeli,6.5
concerto,virtuoso,7.31
osservazione,architettura,5.12
spazio,mondo,6.5
preservazione,mondo,5.92
ammissione,biglietto,6.69
doccia,alluvione,4.92
tempo,previsioni,7.92
disastro,area,5.27
governatore,ufficio,6.46
architettura,secolo,5.23
